<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	16:00:00	2333.97	2335.37	2332.95	2333.14	1131	0	4
2024.06.03	16:05:00	2333.04	2333.81	2330.90	2331.97	791	0	4
2024.06.03	16:10:00	2331.86	2334.81	2331.25	2334.81	881	0	4
2024.06.03	16:15:00	2334.81	2336.59	2333.24	2335.69	980	0	4
2024.06.03	16:20:00	2335.69	2335.76	2332.88	2333.53	761	0	4
2024.06.03	16:25:00	2333.56	2334.67	2333.17	2333.66	693	0	4
2024.06.03	16:30:00	2333.69	2336.75	2332.58	2333.85	1417	0	4
2024.06.03	16:35:00	2333.89	2335.11	2331.97	2332.74	1254	0	4
2024.06.03	16:40:00	2332.76	2334.33	2331.72	2332.50	871	0	4
2024.06.03	16:45:00	2332.59	2332.59	2330.92	2332.02	1074	0	4
2024.06.03	16:50:00	2332.14	2334.74	2329.86	2333.90	1275	0	4
2024.06.03	16:55:00	2333.90	2334.52	2331.99	2332.64	913	0	4
2024.06.03	17:00:00	2332.68	2342.40	2332.68	2339.76	1737	0	4
2024.06.03	17:05:00	2339.78	2341.62	2337.73	2339.55	1546	0	4
2024.06.03	17:10:00	2339.55	2342.18	2339.14	2339.47	1296	0	4
2024.06.03	17:15:00	2339.64	2341.69	2337.29	2340.07	1483	0	4
2024.06.03	17:20:00	2340.17	2340.50	2336.65	2339.49	1517	0	4
2024.06.03	17:25:00	2339.55	2340.20	2337.53	2339.52	1419	0	4
2024.06.03	17:30:00	2339.53	2341.31	2339.27	2340.67	1255	0	4
2024.06.03	17:35:00	2340.46	2344.62	2340.22	2344.62	1227	0	4
2024.06.03	17:40:00	2344.52	2345.74	2342.54	2342.87	1136	0	4
2024.06.03	17:45:00	2342.85	2345.28	2342.28	2343.16	1156	0	4
2024.06.03	17:50:00	2343.21	2344.35	2342.33	2343.55	1138	0	4
2024.06.03	17:55:00	2343.40	2344.03	2341.36	2341.77	992	0	4
2024.06.03	18:00:00	2341.77	2341.83	2336.76	2337.27	1125	0	4
2024.06.03	18:05:00	2337.29	2339.04	2335.44	2337.77	1187	0	4
2024.06.03	18:10:00	2337.83	2339.24	2336.92	2339.00	1153	0	4
2024.06.03	18:15:00	2339.02	2341.79	2338.40	2341.37	942	0	4
